M  0.81666  -71.7000
D  0.81666  -71.9200
D  0.83333  -72.0500
D  0.83333  -72.1800
D  0.80000  -72.2850
D  0.83333  -72.4650
D  0.81666  -72.5150
D  0.76666  -72.6250
D  0.71666  -72.8333
D  0.71666  -73.1500
D  0.75000  -73.1900
D  0.85000  -73.3750
D  0.90000  -73.3750
D  0.95000  -73.1400
D  0.98333  -73.1400
D  1.00000  -73.0600
D  0.96666  -72.9400
D  1.03333  -72.6250
D  1.11666  -72.7400
D  1.20000  -72.6700
D  1.23333  -72.6900
D  1.26666  -72.5800
D  1.28333  -72.6200
D  1.33333  -72.5000
D  1.31666  -72.3100
D  1.35000  -72.1900
D  1.33333  -71.9800
D  1.30000  -72.0200
D  1.28333  -71.9200
D  1.30000  -71.8300
D  1.30000  -71.6250
D  1.28333  -71.6600
D  1.23333  -71.6250
D  1.20000  -71.4700
D  1.16666  -71.4500
D  1.15000  -71.3400
D  1.13333  -71.1950
D  1.10000  -71.1500
D  1.05000  -71.2250
D  1.05000  -71.3300
D  1.03333  -71.4200
D  0.93333  -71.5000
D  0.90000  -71.6250
D  0.83333  -71.6550
