N3913 115038.9 +552112 13.17 8   2.6   2.6   0  37024 UGC  6813            
N3914 115032.6 +063403 14.00 8   1.1   0.6   0  37014 UGC  6809            
N3915 114854.8 -044055 14.69 0                                             
N3916 115051.0 +550837 14.20 8  1.47  0.48   0  37047 UGC  6819            
N3917 115045.4 +514933 12.51 8   5.1   1.3  77  37036 UGC  6815            
N3918 115017.2 -571053 10.0  6                                              Blue Planetary     
N3919 115041.5 +200055 14.34 8   0.9   0.9   0  37032 UGC  6810            
N3920 115005.9 +245512 14.11 8   1.0   1.0   0  36981 UGC  6803            
N3921 115106.1 +550439 13.06 8   2.1   1.3  20  37063 UGC  6823            
N3922 115113.4 +500925 13.76 8   1.7   0.8   0  37072 UGC  6824            
N3923 115102.1 -284823 10.80 8   5.9   3.9  50  37061 ESO  440- 17         
N3924 115236.0 +500100       8                                             
N3925 115121.0 +215321 15.3  8                                             
N3926 115128.2 +220132 14.7  8                                             
N3927 115132.3 +280825  0.00 0               0                 
N3928 115147.1 +484053 13.22 8   1.5   1.5   0  37136 UGC  6834             Miniature Spiral      
N3929 115142.5 +210010 15.00 8   0.5   0.4   0  37126 UGC  6832            
N3930 115146.0 +380054 13.10 8   3.2   2.4   0  37132 UGC  6833            
N3931 115113.8 +520003       8   1.1   0.9 160  37073 UGC  6825            
N3932 115229.3 +482732 15.1  8                                             
N3933 115201.3 +164834 14.26 8   1.1   0.6  83  37156 UGC  6839            
N3934 115212.5 +165105 14.50 8   1.1   1.0   0  37170 UGC  6841            
N3935 115224.1 +322414 14.20 8   1.0   0.5  85  37183 UGC  6843            
N3936 115220.6 -265421 12.76 8   3.9   0.6   0  37178 ESO  504- 20         
N3937 115242.6 +203757 13.43 8   1.8   1.6  15  37219 UGC  6851            
N3938 115249.8 +440726 10.90 8   5.4   4.9   0  37229 UGC  6856            
N3939 114919.8 +741808 14.15 0   0.9   0.9   0                 
N3940 115246.6 +205925 13.80 8   1.7   1.6   0  37224 UGC  6852            
N3941 115255.1 +365914 11.25 8   3.5   2.3  10  37235 UGC  6857            
N3942 115130.1 -112529 13.78 8   1.4   0.8   0  37099 MCG -2-30- 35        
N3943 115256.6 +202845 14.29 8   1.1   1.1   0  37237 MCG  4-28- 84        
N3944 115305.1 +261225 13.90 8   1.4   1.1   0  37244 UGC  6859            
N3945 115314.7 +604036 11.80 8   5.2   3.5  15  37258 UGC  6860            
N3946 115320.5 +210115 15.5  8                                             
N3947 115320.1 +204512 13.88 8   1.4   1.2   0  37264 UGC  6863            
N3948 115336.7 +205704  0.00 0               0                 
N3949 115341.5 +475135 11.54 8   2.9   1.7 120  37290 UGC  6869            
N3950 115341.4 +475303 15.7  8                                             
N3951 115341.4 +232255 14.30 8   1.1   0.5 172  37288 UGC  6867            
N3952 115340.6 -035946 13.51 8   1.6   0.7  78  37285 MCG -1-30- 44        
N3953 115349.5 +521939 10.84 8   6.9   3.5  13  37306 UGC  6870            
