*7650
0000+49   BD 49 4329  
73 CYG      2130+45
74 COMP SE  1921+50K
74 COMP SW  2009+38D
74 VAR? NW  1621+19B
75 COMP E   2108+68C
75 COMP N   0500+01C
75 COMP S   0942+11E
75 VAR? SE  0343+22         NSV 1346
76 COMP     0413-18B
76 COMP NW  1419+26B
76 COMP NW  1901+08F
76 COMP SE  1927+45B
76 COMP SW  1527-14C
77 COMP E   1621+19E
77 COMP S   0942+11D
77 VAR? NE  2301+10B
78 COMP NE  1315+46C
78 COMP NE  1811+36H
78 COMP NW  1901+08H
78 COMP SW  1537+38B
79 COMP     0652-08D
79 COMP NE  1711+57B
79 COMP NW  1901+08I
79 VAR? NE  0017+55B
8.8 COMP    0533+26B
80 COMP SE  2138+43K        OME'S *
80 COMP SW  1151+58D
81 COMP NE  1921+50L
81 COMP NW  2009+16D
81 COMP SE  2159+27B
81 VAR NW   2108+68B
81 VAR? E   0811+12B
82 COMP E   1844-08B
82 COMP SE  1657+22B
82 COMP SW  2009+38F
82 VAR? NW  1418+54         NSV 6645
82 VAR? SW  0703+10B
83 COMP     2159+27C
83 COMP NE  1901+08O
83 COMP NE  1940+48D
83 COMP SE  1151+58C
83 COMP SW  2009+38E
83 UMA      1337+55
83 VAR? E   0059+53C
83 VAR? N   0215+58B
84 COMP E   1606+25C
84 COMP NE  0530+68C
84 COMP NE  1415+67D
84 COMP NE  2138+43I
84 COMP SW  2009+16B
84 ORI      0530-05
85 COMP E   0553+53C
85 COMP N   1546+39B
85 COMP NE  0703-11B
85 COMP SW  1901+08K
85 COMP W   1901+08J
85 VAR? W   0602+22C
86 COMP N   0602+22D
86 COMP NW  1151+58E        NSV 19029
86 COMP S   0539+20B
86 COMP S   1745-51B
86 COMP SE  0108+26B
86 COMP SE  1921+50G
86 COMP SW  1714+01B
86 COMP SW  2009+16C
86 VAR E    1415+67B
87 COMP     0828-47B
87 COMP NE  0432+74B
87 COMP SE  1811+36C
87 COMP SW  0539+09B
87 COMP SW  1443+39B
87 VAR? SW  0152+54B
88 COMP E   0526+07B
88 COMP SE  1901+08C
88 COMP SW  2328+48C
88 COMP W   2339+61C
88 VAR? NE  0942+11B
89 COMP SW  0539+09C
89 COMP SW  2034+22E
89 COMP W   0215+58I
89 VAR? NW  0539+15B
9 AUR       0458+51
9 UMA       0852+48         IOTA UMA; NSV 4329
9.0 COMP    2108+47B
9.7 COMP    0211+43B
9.8 VAR?    2037+18B
90 COMP NE  0530-05B
90 COMP SE  0314-01B
90 COMP SE  0500+03C
90 COMP SE  2009+38B
90 COMP SW  0152+54C
91 COMP E   1344+40D
91 COMP NW  0324+43B
91 COMP NW  2328+48F
91 COMP SE  1714+01C
91 COMP SE  2144+43D
91 COMP SW  0313+32B
91 COMP SW  1353-04D
91 COMP W   0040+47E
91 VAR? S   0031+62B
92 COMP E   2310+40B
92 COMP NE  2144+43C
92 COMP NW  1425+39C
92 COMP S   1233+66B
92 COMP SE  1935+09E
92 COMP SW  0450+48C
92 COMP W   0231+33E
92 COMP W   1905+29E
92 COMP WW  1905+29D
92 VAR? N   0008+62B
92 VAR? SW  1702-15B
93 COMP N   0816+17D
93 COMP N   2307+59B
93 COMP NE  1601+67B
93 COMP NE  1711+57C
93 COMP NW  1536-20D
93 COMP NW  2229+24B
93 COMP S   2034+22D
93 COMP SE  0313+32C
93 COMP SE  0539+00B        HD 38311
93 COMP SW  1652-02B
93 VAR? SW  0201+14B
94 COMP E   0017+55C
94 COMP N   1903+17B
94 COMP NW  0320+43B
94 COMP NW  1921+50M        SAO 31628 (ECL.BINARY) DO NOT USE AS COMP
94 COMP S   1601+67C
94 COMP SE  0524-04D
94 COMP SE  1443+39D
94 COMP W   1811+36D
95 COMP E   1353-04C
95 COMP NE  0556+46C
95 COMP NE  1844-08C
95 COMP SE  2209+12C
95 COMP SS  1901+08D
95 COMP SW  0640+30F
95 COMP W   0530+68D
95 COMP W   1353-04B
95 VAR? NW  1443+39C
96 COMP N   0109+40C
96 COMP SW  1344+40C
96 COMP SW  2144+43E
96 COMP WW  1905+29C
96 VAR? NE  1631+72C
96 VAR? W   0415+28B
96 VIR      1403-09
97 COMP N   2010+08B
97 COMP NE  0536+14B
97 COMP NE  2120-30B
97 COMP SE  0942+11F
97 COMP SE  1644+03B
97 COMP SW  2217-22B
97 VAR? E   0211+43C
97 VAR? NW  2034+22C
97 VAR? S   0242+17B
97 VAR? S   0450+48B
97-BLG-56   1749-29
98 COMP E   0710+39D
98 COMP E   2014+37D
98 COMP NW  1632+66B
98 COMP NW  2159+34C
98 COMP SE  2002+50D
98 COMP W   1555+26G
98 VAR? NW  1344+40B
99 COMP     2310+40D
99 COMP E   1650-30C
99 COMP NE  2224+39B
99 COMP SE  1332+73B
99 VAR? N   0526+07C
99 VAR? S   2050+30C
99 VAR? SE  1631+72B
99 VAR? SW  0133+00B
9M STAR N   0404+51B
? AUR       0614+52         HIP 30227
? CEP       2136+57         HIP 106890
? HER       1617+34         HIP 80073
? VIR       1302-12B
?? PUP      0754-43
?? SGR      1848-19B        MAG RANGE 10-11;MAG RANGE 12-13 IS 1753-25 VAR SGR
A 0535+26   0532+26
A 0538-66   0535-66
AA ARI      0158+22         HIP 9619
AA AUR      0634+44A
AA BOO      1357+08
AA CAM      0704+68
AA CAS      0113+55
AA CNC      0831+26
AA CRA      1845-38
AA CYG      2000+36
AA DRA      2005+66
AA HER      1815+22
AA ORI      0530-05
AA PER      0308+46
AA TRI      0152+30         HIP 9171
AA TUC      2214-60
AB AND      2306+36
AB AQL      1842-02
AB AQR      2233-14
AB ARI      0200+21         HIP 9796
AB AUR      0449+30B
AB CAP      2053-15
AB CEP      2207+54
AB CRB      1600+27
AB CYG      2132+31
AB DRA      1953+77
AB LEO      0927+20
AB LYR      1903+33
AB NOR      1542-42
AB SGE      1943+17
AB TAU      0534+28
AC ANT      1017-34
AC AQR      2111-02
AC ARI      0202+24         HIP 9963
AC AUR      0519+50
AC CAR      0705-58
AC CET      0005-19
AC CNC      0839+13
AC CYG      2009+49
AC DRA      2019+68
AC HER      1826+21
AC MON      0656-08
AC OPH      1708-13
AC ORI      0530-05
AC SCL      0051-26
AC SCO      1640-27
AC SGE      1944+18A
AC TRI      0206+34
AD AQL      1853-08
AD ARI      0212+17
AD BOO      1430+25
AD CAS      0057+70
AD CEN      1148-58
AD CEP      0024+82
AD CET      0009-08
AD CMI      0704+01
AD CYG      2027+32A
AD DRA      1911+62
AD HYA      0939-22
AD LEO      1014+20
AD LYR      1903+34
AD MEN      0606-71
AD ORI      0530-05
AD PER      0213+56A
AD PUP      0743-25
AD TAU      0528+25
AD TRI      0212+28
AD VEL      1041-55
ADS 7117A   0853+14
ADS 7896A   1037+04
AE AQL      1854-06
AE AQR      2035-01
AE ARA      1733-47
AE ARI      0215+22
AE AUR      0509+34
AE CAP      2013-16
AE CEP      0113+79
AE CIR      1436-68
AE CMI      0747+01B
AE DEL      2028+17B
AE HER      1839+22
AE LYR      1904+26
AE ORI      0530-05
AE PER      0253+43
AE SGE      1944+18B
AE TRI      0219+33         HIP 11272
AE UMA      0930+44
AE VIR      1422+04
AF ARI      0216+22
AF CAM      0324+58
AF CAR      1010-58B
AF CEN      1258-55
AF CRU      1213-62
AF CYG      1927+45
AF LEO      1122+15
AF ORI      0530-05
AF PEG      2246+17
AF PER      0335+36
AF PSC      2326-03
AF SCO      1644-25A
AF SGE      1944+18C
AF TRI      0221+36
AF VUL      1931+27
AG APS      1518-75
AG AUR      0620+47
AG CAR      1052-59
AG CAS      0126+72
AG CEP      0209+78
AG CET      0022-12
AG CRU      1235-59
AG CYG      1949+36
AG DEL      2029+18
AG DRA      1601+67
AG HYA      0945-23
AG LUP      1506-48
AG OPH      1717+14
AG ORI      0530-05
AG PEG      2146+12
AG SER      1828+03
AG SGR      1901-29
AG VEL      1048-56
AH AND      0159+40
AH ARI      0228+24         HIP 11982
AH CRB      1616+34
AH DRA      1646+57
AH ERI      0418-13
AH HER      1640+25
AH MEN      0622-81
AH MON      0707-01
AH ORI      0530-05
AH PER      0241+39
AH PSC      0116+09
AH SCO      1704-32
AH SER      1554+20A
AH TRI      0234+35
AH VEL      0808-46
AH VUL      1941+27
AI AND      2313+48
AI AUR      0627+30
AI CAM      0429+72
AI CET      0037-10
AI CMI      0730+00
AI CVN      1218+43
AI CYG      2027+32B
AI DRA      1654+52
AI HER      1651+49
AI LEO      1135+11
AI LYR      1910+27
AI ORI      0530-05
AI PEG      2210+26
AI PER      0242+37
AI SCO      1749-33
AI VEL      0810-44
AI VUL      1942+27
AK 79 AND   0211+37
AK AND      2316+49
AK ARI      0234+20
AK CET      0055-12
AK CIR      1441-68
AK CNC      0849+11
AK HER      1709+16
AK HYA      0835-16
AK LEO      1135+13
AK MIC      2103-40
AK ORI      0530-05
AK PEG      2258+10
AK SCO      1648-36
AK SGE      1947+16C        VAR? SW
AK TAU      0356+20
AKN 120     0511-00B
AL AND      2321+44
AL ARI      0237+12
AL AUR      0626+31
AL CAR      0857-59
AL CEN      1230-53
AL CEP      2245+58
AL CET      0103-17
AL COM      1227+14
AL CRA      1808-37
AL DRA      1825+49
AL HER      1738+17
AL LYR      1915+27
AL PER      0255+48
AL SGR      1911-17
AL VEL      0828-47
AL VIR      1405-12B
ALPHA AND   0003+28
ALPHA ARA   1724-49         NSV 8999
ALPHA AUR   0509+45
ALPHA BOO   1411+19
ALPHA CAS   0034+55
ALPHA CEP   2116+62
ALPHA COM   1305+18
ALPHA CVN   1251+38
ALPHA GEM   0728+32
ALPHA HER   1710+14
ALPHA ORI   0549+07
ALPHA PEG   2259+14B
ALPHA PSC   0156+02
ALPHA SCO   1623-26
ALPHA TAU   0430+16
ALPHA UMA   1057+62
ALPHA UMI   0122+88
ALS 2       1745-17
AM ARI      0238+17         HIP 12731
AM CAR      1011-60
AM CAS      0217+70
AM CET      0106-14
AM CRA      1834-37E
AM CVN      1229+38
AM CYG      2044+31
AM GEM      0701+28
AM HER      1813+49
AM LUP      1511-50
AM LYR      1915+32
AM ORI      0530-05
AM PEG      2105+12
AM SER      1524-00
AM SGR      1916-32
AN ARA      1719-47
AN ARI      0247+11
AN AUR      0452+40
AN CAP      2026-26
AN CEN      1342-37
AN CEP      2316+82
AN CET      0109-02
AN CYG      2047+33
AN DEL      2034+13
AN LYR      1918+31
AN ORI      0530-05
AN PEG      2106+12
AN PHE      2328-45
AN SCO      1606-19
AN SGE      1949+17C
AN SGR      1921-18
AN UMA      1058+45
AN VIR      1412-14
ANDREWS *   0534+31B
AO 0235+16  0233+16
AO AND      2313+46
AO ARI      0249+30
AO CET      0115-10
AO CRU      1212-63
AO CYG      2047+31
AO DEL      2035+17
AO DRA      1734+54
AO LAC      2238+51
AO LEO      1129+23
AO LYR      1814+31
AO MON      0701-04
AO OCT      2053-75
AO ORI      0530-05
AO PSC      2250-03
AO SGE      1949+17D
AO SGR      1805-29
AO TAU      0443+28
AO VIR      1416+04
AP CAM      0442+74
AP CAR      1015-60
AP CRU      1225-63
AP CYG      2050+30B
AP DEL      2035+13B
AP DRA      1822+69
AP HER      1846+15
AP LAC      2203+47
AP LIB      1511-24
AP MON      0704-06
AP ORI      0530-05
AP PEG      2124+17
AP PUP      0754-39
AP SGR      1807-23
AP VIR      1423+07
AQ AND      0022+35
AQ ARA      1721-46
AQ ARI      0300+11
AQ AUR      0459+35
AQ CAR      1018-60
AQ CEN      1359-35
AQ CET      0144-05
AQ CMI      0709+08
AQ CYG      2052+33
AQ DEL      2036+16
AQ DRA      2004+73
AQ ERI      0501-04
AQ HER      1753+42
AQ LAC      2203+46
AQ LIB      1511-23
AQ ORI      0530-05
AQ PEG      2132+13B
AQ PUP      0754-28
AQ SGR      1928-16
AQR 1       2233+00         NAME ALSO = 2236+0052
AR AND      0139+37
AR ARA      1722-46
AR AUR      0511+33
AR CEP      2253+84
AR CET      0155-09
AR CIR      1440-59
AR CNC      0916+31
AR ERI      0506-05
AR LAC      2204+45
AR MON      0715-05
AR PAV      1810-66
AR PSC      0117+06
AR PUP      0759-36
AR SGE      1954+16B
AR SGR      1853-23
AR UMA      1110+43
AR VUL      1931+26
AS 201      0827-27
AS 209      1643-14
AS 210      1645-25
AS 245      1745-22
AS 270      1759-20         HEN 3-1581
AS 289      1806-11
AS 296      1809-00
AS 327      1847-24B
AS 338      1859+16
AS 360      1941+18
AS ARI      0319+20
AS CEP      2258+59B
AS CET      0213-14
AS CYG      2053+30
AS HER      1634+14
AS PEG      2108+18
AS PER      0412+48
AS PUP      0806-37
AS SGE      1952+17
AT ARA      1723-46
AT ARI      0321+24
AT CAR      1021-59
AT CEP      2345+77
AT CNC      0822+25
AT CYG      2053+32
AT DRA      1615+60
AT GEM      0639+12
AT MIC      2035-32         HD 196982
AT PUP      0808-36
AT SGR      1757-26
AU AND      0141+39
AU ARI      0203+17
AU AUR      0446+49
AU CAM      0535+68
AU CAR      1022-61
AU CVN      1305+32
AU CYG      2014+34
AU ERI      0412-25
AU GEM      0739+31
AU HER      1753+29
AU LIB      1512-24
AU MIC      2039-31
AU MON      0649-01A
AV ARI      0205+19
AV AUR      0530+39
AV CAS      0053+60
AV CIR      1441-67
AV CVN      1316+44
AV CYG      1916+29A
AV ERI      0415-18
AV HYA      0929+05
AV LIB      1513-24
AV PEG      2147+22
AV SGE      1953+17B
AV SGR      1758-22
AW AUR      0533+28
AW CEN      1307-56A
AW CVN      1347+34
AW CYG      1925+45
AW GEM      0716+28
AW PEG      2147+23
AW PER      0441+36
AW PHE      0125-47
AW SGE      1954+16
AW TAU      0541+27
AW UMA      1124+30
AX AND      0226+46
AX ARA      1725-46
AX CAP      2003-17         NAME ALSO = 2006-1725
AX CEP      2125+69
AX CIR      1444-63
AX CVN      1234+36
AX CYG      1954+44
AX LYR      1839+35
AX MON      0625+05
AX PER      0130+53
AX SCO      1635-26
AX SGR      1802-18
AX VEL      0807-47
AY ARA      1726-46
AY AUR      0549+32
AY CEN      1120-60
AY CET      0111-03
AY CYG      2006+41
AY DRA      1536+57B
AY IND      2140-72
AY LAC      2218+49
AY LYR      1841+37
AY OPH      1814+06
AY PEG      2156+34
AY PSC      0131+06
AY TEL      1807-54
AZ AND      2259+48
AZ ARA      1727-47
AZ AUR      0554+39
AZ CYG      2054+46
AZ DEL      2047+14
AZ DRA      1642+72
AZ HER      1818+28
AZ MON      0652+03
AZ ORI      0530-05
AZ PEG      2202+28
AZ PER      0346+33
AZ SER      1809-00B
AZ SGR      1817-30
AZ TEL      1807-56
AZ UMA      1142+44
BARNARDS *  1752+04
BB AND      0012+44
BB CAS      2346+61
BB CMI      0746+05
BB CYG      2114+28
BB DEL      2048+15
BB GEM      0629+13
BB HER      1841+12B
BB OPH      1718-24
BB SER      1810-00
BB SGR      1845-20
BB VEL      0833-47
BC AND      2256+45
BC CAP      2003-15
BC CAS      2346+59
BC CMI      0746+03
BC CYG      2017+37A
BC GEM      0659+10A
BC MON      0754-04
BC OPH      1813+06
BC PEG      2237+20
BC SER      1555+02
BC UMA      1147+49
BD 00 871   0445+00
BD 01 565   0352-01
BD 03 3563  1353-04C
BD 05 948   0526+05
BD 06 6191  2315-06
BD 07 896   0521+07
BD 08 1642  0652-08C
BD 12 1812  0812+11
BD 14 1247  0614+14
BD 18 4586  2037+19
BD 19 4450  2029+19         MV DEL, NSV 13150
BD 20 1171  0549+20D        NSV 16732
BD 21 6267  2233-21
BD 22 1257  0611+22
BD 22 743   0437+22
BD 25 719   0426+25B
BD 26 223   0107+57
BD 26 2749  1549+26
BD 26 2763  1555+26B
BD 26 730   0430+26
BD 26 883   0532+26
BD 28 637   0412+28
BD 31 1048  0534+31B
BD 31 1049  0534+31A
BD 32 599   0311+32
BD 32 602   0312+32
BD 34 2768  1616+34
BD 34 3815  1954+34         V1357 CYG; HD 226868; CYG X-1
BD 37 2318  1239+37
BD 39 167   0039+40
BD 40 3110  1707+40
BD 45 3637  2140+45
BD 48 183   0031+48
BD 49 2165  1245+49
BD 49 4329  0000+49
BD 53 950   0540+54
BD 56 512   0211+56
BD 56 595   0216+56B
BD 60 299   0133+60
BD 62 597   0333+62B
BD 66 360   0444+66
BD 67 1329  2133+67         V431 CEP, NSV 13807
BD CAM      0333+62B        CSV 328
BD CEP      2016+79
BD ERI      0428-00
BD MON      0756-05
BD ORI      0531-06G
BD PAV      1834-57
BD PEG      2238+27
BD VUL      2033+26
BD-21 3873  1411-21
BE AND      2315+48
BE CAM      0340+65
BE CAP      2005-09         HIP 99457
BE CEN      1455-29
BE CMI      0731+02
BE GEM      0739+14
BE HER      1621+29
BE LYR      1850+27
BE OCT      2355-77
BE ORI      0532-06A
BETA AND    0104+35
BETA BOO    1458+40
BETA CAS    0003+58
BETA CEP    2127+70
BETA CMI    0721+08
BETA DOR    0532-62
BETA GRU    2236-47
BETA LIB    1511-09
BETA LYR    1846+33
BETA ORI    0509-08
BETA PEG    2258+27
BETA PER    0301+40
BETA UMA    1055+56
BF ARA      1730-47
BF CEP      2029+62
BF CYG      1920+29
BF ERI      0434-04
BF HER      1700+17
BF OPH      1659-26
BF ORI      0532-06B
BF SGE      1958+20A
BF VUL      2039+20
BG AND      2326+42
BG CAP      2014-13         HIP 100234
BG CMI      0726+10
BG CRU      1226-58
BG CYG      1934+28
BG DRA      1852+51
BG GEM      0557+27
BG HER      1705+18
BG LAC      2156+42
BG MON      0651+07
BG ORI      0534-02
BG PAV      1832-57
BG SER      1538-01
BG SGE      1958+20B
BG TEL      1819-53
BG VIR      1442+05
BH CEP      2159+69
BH CRU      1211-55
BH CVN      1330+37
BH CYG      2115+41
BH LAC      2230+50
BH LYN      0815+51
BH SGE      1958+17
BH SGR      1908-19B
BH VIR      1353-01
BI AND      0219+37
BI ARA      1733-45
BI CEP      2159+67
BI CET      0117+00
BI CRU      1217-62
BI CYG      2017+36B
BI HER      1718+15
BI LYN      0856+40
BI LYR      1853+28
BI MON      0655+10A
BI OPH      1826+06
BI ORI      0518+00
BI PEG      2252+17
BK AQR      2103-05
BK AUR      0503+49
BK CAM      0611+65
BK CAP      2027-19         HIP 101405
BK CEN      1144-62
BK CMI      0710+05
BK CYG      2125+46
BK GEM      0624+13
BK HER      1743+26
BK LAC      2158+43
BK LYN      0914+34
BK LYR      1855+30
BK ORI      0526+07
BK SCO      1553-23
BK VEL      0805-43
BK VIR      1225+04
BL AQR      2109-02
BL CAM      0338+63
BL CIR      1441-68B
BL CNC      0800+22
BL CRU      1222-58
BL CYG      2127+46
BL HER      1756+19
BL HYI      0137-68
BL LAC      2158+41
BL LYR      1858+25
BL ORI      0619+14
BL SER      1822+05
BL SGE      1959+17
BL TAU      0347+19
BL TEL      1858-51
BL VEL      0805-46
BM AND      2232+47B
BM APS      1601-73
BM CAM      0457+58
BM ERI      0408-10
BM GEM      0714+25
BM HER      1829+25
BM LYR      1900+27
BM ORI      0530-05
BM PER      0422+48
BM SCO      1734-32
BM SGE      2000+19
BM TAU      0348+28
BN CAP      2114-27         HIP 105324
BN CMI      0703+04
BN CYG      2141+46
BN GEM      0731+17
BN HER      1831+25
BN MON      0616+07
BN ORI      0531+06
BN SCO      1747-34B
BN VEL      0810-47
BO CAR      1042-58
BO CEP      2214+69
BO CET      0201-02         GSC 71011
BO CMI      0717+07
BO CNC      0846+28
BO DRA      1951+66
BO MON      0754-03
BO MUS      1229-67
BO SGE      2001+18
BP CAP      2132-11         HIP 106739
BP CMI      0727+11
BP CNC      0821+13
BP CRA      1830-37
BP CRU      1221-62
BP CYG      2149+48B
BP GEM      0753+20
BP LYN      0856+41
BP LYR      1902+31
BP ORI      0532-05
BP TAU      0413+28
BP TEL      2001-56
BPM 18764   0758-53         WD 0800-533
BQ AND      2257+51
BQ CAS      0111+58
BQ CMI      0729+06
BQ CYG      2151+51
BQ GEM      0707+16
BQ ORI      0551+22
BQ PAV      1949-70
BQ SER      1831+04
BQ SGE      2001+19
BR CVN      1318+47
BR DEL      2041+04
BR ERI      0343-07
BR GEM      0630+26A
BR LUP      1529-40
BR LYR      1905+30
BR ORI      0445+15
BR PAV      2001-57
BR TUC      2257-64
BR VUL      1942+22
BRANCHETT*  1841-05
BS 1140     0338+23
BS 1732     0512+33
BS 1902     0530+26
BS 2782     0714-24
BS 2821     0719+27
BS 3660     0908+57
BS 4374/5   1112+32
BS 463      0131+11
BS 4690     1214+49
BS 5171     1340-62A
BS 5298     1403-09
BS 5340     1411+19
BS 5530     1410+10
BS 5932     1551+43
BS 595      0156+02
BS 6063/4   1610+34
BS 6588     1736+46
BS 6600     1738-13         HD 161023
BS 7074     1843-62
BS 8795     2302+08
BS AUR      0557+28
BS CAP      2145-20
BS CEP      2225+64
BS CMI      0751+06
BS CYG      1949+53
BS MON      0719-03
BS SGR      1820-27
BT APS      1610-73
BT CAS      0118+60
BT CMI      0751+03
BT CYG      1957+50
BT LAC      2220+55
BT LYR      1909+30
BT MON      0638-01
BU AND      2318+39
BU CAP      2150-14
BU CET      0030-04
BU CMI      0752+07
BU CYG      2002+50
BU GEM      0606+22
BU LAC      2224+50
BU PER      0211+56
BU TAU      0343+23
BV 372      1244-14         SV CRV
BV 404      2144+20
BV AND      2322+49
BV CEN      1325-54
BV CMI      0753+05
BV CYG      2030+53
BV ERI      0347-10
BV PUP      0744-23
BV PUP A    0744-23B
BW AUR      0619+45
BW BOO      1433+36
BW CAP      2153-21
BW CIR      1352-64
BW CMI      0800+06
BW SCL      2347-39         = J2353-3851
BW TAU      0427+05
BW VUL      2050+28
BX CHA      1116-75
BX CIR      1354-65
BX CRU      1244-62
BX MON      0720-03
BX PUP      0750-24
BY AND      2332+47
BY APS      1614-75
BY BOO      1403+44
BY CAM      0533+60
BY CIR      1436-63
BY DRA      1831+51
BY MIC      2048-28B        HIP 103168
BY PSC      0013+12
BZ AND      0032+45
BZ CAM      0618+71
BZ CAR      1050-61
BZ CET      0254+07
BZ CYG      2042+44B
BZ DRA      1845+53
BZ PSC      0015+02
BZ PUP      0754-18
BZ UMA      0846+58
BZ VIR      1255-17
C CAR       0951-58
C-1 AND     0027+25E
C-1 LIB     1437-19B
C-2 AND     0027+25F
C1 AND      0027+25E
C1 LIB      1437-19B
C1 PSC      0106+21B
C2 AND      0027+25F
CAL 86      0546-68         RXJ0546.3-6835
CAMILLERI*  0735-40         CGCS 1825
CAV 8465    2009+16F
CC AND      0038+41
CC CAM      0446+69
CC CEN      1330-53
CC CNC      0830+21
CC CVN      1254+35
CC VEL      0934-44
CCCS 1705   1030-62         CD -62 466;CGCS 2792
CD AUR      0642+48
CD CEN      1331-53
CD CRA      1839-38
CD CRU      1238-62
CD CYG      2000+33
CD GEM      0618+24
CD IND      2108-59
CD PUP      0809-24
CD SER      1539+12
CD TAU      0511+20
CD-32 9550  1336-32         CPD-32 3460
CD-4511775  1733-45B        CPD-45 8770
CD-4611775  1735-46
CD-49 8095  1333-49         V744 CEN;HD 118767
CD-62 466   1030-62         CCCS 1705; CGCS 2792; SAO 251015
CE AUR      0648+46
CE BOO      1449+16
CE CAS      2353+60C        UNRESOLVED OBSERVATIONS OF DOUBLE STAR
CE CAS A    2353+60A        COMPONENT A
CE CAS B    2353+60B        COMPONENT B
CE CEN      1331-53B
CE CYG      2115+46
CE HER      1737+15
CE LYR      1832+27
CE PSC      0019-05
CE TAU      0526+18
CE UMA      1110+29
