M  4.93333  -66.0000
D  4.86666  -66.3500
D  4.83333  -66.7500
D  4.83333  -67.2500
D  4.88333  -68.0000
D  4.86666  -68.8000
D  4.91666  -69.5000
D  4.90833  -69.7500
D  4.91666  -70.2500
D  5.00000  -70.8000
D  5.15000  -71.1000
D  5.33333  -71.0000
D  5.41666  -71.0700
D  5.53333  -71.1000
D  5.66666  -70.8000
D  5.75000  -70.4000
D  5.86666  -69.7500
D  5.88333  -69.1000
D  5.88333  -68.5000
D  5.85000  -68.0000
D  5.80000  -67.6000
D  5.81666  -67.2000
D  5.80000  -66.7500
D  5.75000  -66.4000
D  5.68333  -66.3000
D  5.51666  -66.5000
D  5.36666  -66.2000
D  5.31666  -66.2000
D  5.26666  -66.4000
D  5.25000  -66.8500
D  5.18333  -67.0000
D  5.15000  -66.9500
D  5.00000  -66.1000
