# NGC/IC catalog (c) 2003 by 
# Wolfgang Steinicke <steinicke-zehnle@t-online.de>
# This catalog is freely available for any non-commercial use.  
# If commercial use is desired, contact Mr. Steinicke.
#
#ID     RA        Dec  BMag type  a     b   pa   PGC  other           Messr Longname
#
    0 181654.0 -182900  4.6  3  15.0                                  M  24
    0 034700.0 +240700  1.6  3  70.0                                  M  45 Pleiades
    0 122224.0 +580500  8.4  0   0.0   0.0                            M  40
N   1 000715.9 +274232 13.6  8   1.7   1.2 120    564 UGC 57                
N   2 000717.1 +274043 15.0  8   1.0   0.6 112    567 UGC 59                
N   3 000716.8 +081805 14.4  8   1.1   0.6 111    565 UGC 58                
N   4 000724.5 +082226 16.9  8   0.6   0.3  35 212468                       
N   5 000748.8 +352146 14.8  8   1.2   0.7 115    595 UGC 62                
N   6 000932.6 +331832 14.1  8   1.7   1.6 140    679 NGC 20                
N   7 000820.7 -295459 14.1  8   2.2   0.5  29    627 ESO 409-22            
N   8 000845.3 +235019       1   0.0   0.0   0                              
N   9 000854.5 +234904 14.5  8   1.1   0.7 155    652 UGC 78                
N  10 000834.3 -335128 13.1  8   2.4   1.2  26    634 ESO 349-32            
N  11 000842.3 +372653 14.6  8   1.5   0.3 111    642 UGC 73                
N  12 000844.8 +043644 14.0  8   1.1   1.0 125    645 UGC 74                
N  13 000847.7 +332559 14.1  8   2.3   0.6  53    650 UGC 77                
N  14 000846.3 +154857 12.8  8   2.8   2.1  25    647 UGC 75                
N  15 000902.4 +213730 14.8  8   1.0   0.6  30    661 UGC 82                
N  16 000904.2 +274348 13.0  8   1.8   1.0  16    660 UGC 80                
N  17 001106.6 -120628 15.3  8   2.1   0.8  30    781 NGC 34                
N  18 000923.0 +274356       1   0.0   0.0   0                              
N  19 001040.8 +325858 14.1  8   1.1   0.6  42    759 UGC 98                
N  20 000932.6 +331832 14.1  8   1.7   1.6 140    679 NGC 6                 
N  21 001047.0 +332107 13.6  8   1.5   0.7 154    767 NGC 29                
N  22 000948.2 +274958 14.6  8   1.3   1.0 160    690 UGC 86                
N  23 000953.3 +255526 12.8  8   2.1   1.3   8    698 UGC 89                
N  24 000956.1 -245752 12.2  8   5.8   1.3  46    701 ESO 472-16            
N  25 000959.3 -570113 13.6  8   1.4   0.8  88    706 ESO 149-19            
N  26 001025.9 +254956 13.7  8   2.1   1.4 100    732 UGC 94                
N  27 001032.7 +285949 14.5  8   1.2   0.5 117    742 UGC 96                
