0  0  0  1  5128122
0  0  1  1   280602
0  0  1 -1   277693
2  0  0 -1   173237
2  0 -1  1    55413
2  0 -1 -1    46271
2  0  0  1    32573
0  0  2  1    17198
2  0  1 -1     9266
0  0  2 -1     8822
2 -1  0 -1     8216
2  0 -2 -1     4324
2  0  1  1     4200
2  1  0 -1    -3359
2 -1 -1  1     2463
2 -1  0  1     2211
2 -1 -1 -1     2065
0  1 -1 -1    -1870
4  0 -1 -1     1828
0  1  0  1    -1794
0  0  0  3    -1749
0  1 -1  1    -1565
1  0  0  1    -1491
0  1  1  1    -1475
0  1  1 -1    -1410
0  1  0 -1    -1344
1  0  0 -1    -1335
0  0  3  1     1107
4  0  0 -1     1021
4  0 -1  1      833
0  0  1 -3      777
4  0 -2  1      671
2  0  0 -3      607
2  0  2 -1      596
2 -1  1 -1      491
2  0 -2  1     -451
0  0  3 -1      439
2  0  2  1      422
2  0 -3 -1      421
2  1 -1  1     -366
2  1  0  1     -351
4  0  0  1      331
2 -1  1  1      315
2 -2  0 -1      302
0  0  1  3     -283
2  1  1 -1     -229
1  1  0 -1      223
1  1  0  1      223
0  1 -2 -1     -220
2  1 -1 -1     -220
1  0  1  1     -185
2 -1 -2 -1      181
0  1  2  1     -177
4  0 -2 -1      176
4 -1 -1 -1      166
1  0  1 -1     -164
4  0  1 -1      132
1  0 -1 -1     -119
4 -1  0 -1      115
2 -2  0  1      107
