0  0  1  0  6288774  -20905355
2  0 -1  0  1274027   -3699111
2  0  0  0   658314   -2955968
0  0  2  0   213618    -569925
0  1  0  0  -185116      48888
0  0  0  2  -114332      -3149
2  0 -2  0    58793     246158
2 -1 -1  0    57066    -152138
2  0  1  0    53322    -170733
2 -1  0  0    45758    -204586
0  1 -1  0   -40923    -129620
1  0  0  0   -34720     108743
0  1  1  0   -30383     104755
2  0  0 -2    15327      10321
0  0  1  2   -12528          0
0  0  1 -2    10980      79661
4  0 -1  0    10675     -34782
0  0  3  0    10034     -23210
4  0 -2  0     8548     -21636
2  1 -1  0    -7888      24208
2  1  0  0    -6766      30824
1  0 -1  0    -5163      -8379
1  1  0  0     4987     -16675
2 -1  1  0     4036     -12831
2  0  2  0     3994     -10445
4  0  0  0     3861     -11650
2  0 -3  0     3665      14403
0  1 -2  0    -2689      -7003
2  0 -1  2    -2602          0
2 -1 -2  0     2390      10056
1  0  1  0    -2348       6322
2 -2  0  0     2236      -9884
0  1  2  0    -2120       5751
0  2  0  0    -2069          0
2 -2 -1  0     2048      -4950
2  0  1 -2    -1773       4130
2  0  0  2    -1595          0
4 -1 -1  0     1215      -3958
0  0  2  2    -1110          0
3  0 -1  0     -892       3258
2  1  1  0     -810       2616
4 -1 -2  0      759      -1897
0  2 -1  0     -713      -2117
2  2 -1  0     -700       2354
2  1 -2  0      691          0
2 -1  0 -2      596          0
4  0  1  0      549      -1423
0  0  4  0      537      -1117
4 -1  0  0      520      -1571
1  0 -2  0     -487      -1739
2  1  0 -2     -399          0
0  0  2 -2     -381      -4421
1  1  1  0      351          0
3  0 -2  0     -340          0
4  0 -3  0      330          0
2 -1  2  0      327          0
0  2  1  0     -323       1165
1  1 -1  0      299          0
2  0  3  0      294          0
2  0 -1 -2        0       8752
