# File: info_url.dat
# version 2.0;  last update:  22 July 2016
# by Jason Harris
# No copyright claimed, this is merely a list of "facts"
#
#Data file for KStars, specifying object-specific Web Page URLs.
#For Image URLs, see image_url.dat.
#
#Line format is:  Object_Name:Label_String:URL
#The Object_Name needs to match an object's *primary* name!
#
#You should not need to modify this file; 
#you can manage these links from within KStars.
#Please report broken links to kstars@30doradus.org !
#
# Messier Objects:
M 1:Wikipedia Page:http://en.wikipedia.org/wiki/Crab_Nebula
M 2:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_2
M 3:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_3
M 4:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_4
M 5:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_5
M 6:Wikipedia Page:http://en.wikipedia.org/wiki/Butterfly_Cluster
M 7:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_7
M 8:Wikipedia Page:http://en.wikipedia.org/wiki/Lagoon_Nebula
M 9:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_9
M 10:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_10
M 11:Wikipedia Page:http://en.wikipedia.org/wiki/Wild_Duck_Cluster
M 12:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_12
M 13:Wikipedia Page:http://en.wikipedia.org/wiki/Hercules_Globular_Cluster
M 14:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_14
M 15:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_15
M 16:Wikipedia Page:http://en.wikipedia.org/wiki/Eagle_Nebula
M 17:Wikipedia Page:http://en.wikipedia.org/wiki/Omega_Nebula
M 18:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_18
M 19:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_19
M 20:Wikipedia Page:http://en.wikipedia.org/wiki/Trifid_nebula
M 21:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_21
M 22:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_22
M 23:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_23
M 24:Wikipedia Page:http://en.wikipedia.org/wiki/Sagittarius_Star_Cloud
M 25:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_25
M 26:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_26
M 27:Wikipedia Page:http://en.wikipedia.org/wiki/Dumbbell_Nebula
M 28:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_28
M 29:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_29
M 30:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_30
M 31:Wikipedia Page:http://en.wikipedia.org/wiki/Andromeda_Galaxy
M 32:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_32
M 33:Wikipedia Page:http://en.wikipedia.org/wiki/Triangulum_Galaxy
M 34:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_34
M 35:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_35
M 36:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_36
M 37:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_37
M 38:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_38
M 39:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_39
M 40:Wikipedia Page:http://en.wikipedia.org/wiki/Winnecke_4
M 41:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_41
M 42:Wikipedia Page:http://en.wikipedia.org/wiki/Orion_Nebula
M 43:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_43
M 44:Wikipedia Page:http://en.wikipedia.org/wiki/Beehive_Cluster
M 45:Wikipedia Page:http://en.wikipedia.org/wiki/Pleiades
M 46:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_46
M 47:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_47
M 48:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_48
M 49:Wikipedia Page:http://en.wikipedia.org/wiki/Messier_49
